Reason,Path,Title,PageViews,Freshness (report),LastReviewed (file)
fresh-at-runtime,powerbi-docs/developer/embedded/embed-service-principal.md,Embed Power BI content in an embedded analytics application with service principal and an application secret - Power BI,28719.0,271-365 days,2024-11-14
fresh-at-runtime,powerbi-docs/create-reports/service-export-to-pbix.md,Download a report from the Power BI service to Power BI Desktop - Power BI,24236.0,271-365 days,2025-02-05
fresh-at-runtime,powerbi-docs/collaborate-share/service-roles-new-workspaces.md,Roles in workspaces in Power BI - Power BI,16306.0,271-365 days,2024-11-25
fresh-at-runtime,powerbi-docs/guidance/star-schema.md,Understand star schema and the importance for Power BI - Power BI,15252.0,271-365 days,2024-12-30
fresh-at-runtime,powerbi-docs/create-reports/desktop-report-themes.md,Use report themes in Power BI Desktop - Power BI,13467.0,271-365 days,2024-11-18
fresh-at-runtime,powerbi-docs/transform-model/desktop-composite-models.md,Use composite models in Power BI Desktop - Power BI,13321.0,271-365 days,2024-12-16
fresh-at-runtime,powerbi-docs/create-reports/desktop-sharepoint-save-share.md,Power BI Desktop OneDrive and SharePoint integration - Power BI,13238.0,271-365 days,2024-11-18
fresh-at-runtime,powerbi-docs/create-reports/service-dashboards.md,Intro to dashboards for Power BI designers - Power BI,12390.0,271-365 days,2024-11-18
fresh-at-runtime,powerbi-docs/developer/visuals/import-visual.md,Import Power BI visuals from AppSource or from a file - Power BI,11626.0,271-365 days,2025-01-12
fresh-at-runtime,powerbi-docs/create-reports/desktop-bookmarks.md,Create report bookmarks in Power BI - Power BI,11091.0,271-365 days,2024-11-18
fresh-at-runtime,powerbi-docs/consumer/end-user-report-open.md,View a report - Power BI,9805.0,271-365 days,2025-01-09
fresh-at-runtime,powerbi-docs/collaborate-share/service-embed-report-spo.md,Embed a report web part in SharePoint Online - Power BI,8757.0,271-365 days,2025-01-07
fresh-at-runtime,powerbi-docs/collaborate-share/service-modern-usage-metrics.md,Monitor usage metrics in workspaces (preview) - Power BI,7084.0,271-365 days,2025-01-14
fresh-at-runtime,powerbi-docs/developer/embedded/embed-sample-for-customers.md,Embed content in your Power BI embedded analytics application - Power BI,6496.0,271-365 days,2025-01-06
